年度,受傷部位,行業別,受傷部位次數
2014,頭,農、林、漁、牧業,4
2014,頭,礦業及土石採取業,1
2014,頭,食品製造業,32
2014,頭,飲料製造業,1
2014,頭,菸草製造業,0
2014,頭,紡織業,17
2014,頭,成衣及服飾品製造業,3
2014,頭,皮革、毛皮及其製品製造業,2
2014,頭,木竹製品製造業,4
2014,頭,紙漿、紙及紙製品製造業,9
2014,頭,印刷及資料儲存媒體複製業,3
2014,頭,石油及煤製品製造業,2
2014,頭,化學材料製造業,14
2014,頭,化學製品製造業,6
2014,頭,藥品製造業,4
2014,頭,橡膠製品製造業,8
2014,頭,塑膠製品製造業,14
2014,頭,非金屬礦物製品製造業,23
2014,頭,基本金屬製造業,22
2014,頭,金屬製品製造業,45
2014,頭,電子零組件製造業,99
2014,頭,電腦、電子產品及光學製品製造業,30
2014,頭,電力設備製造業,12
2014,頭,機械設備製造業,36
2014,頭,汽車及其零件製造業,10
2014,頭,其他運輸工具製造業,16
2014,頭,家具製造業,1
2014,頭,其他製造業,11
2014,頭,產業用機械設備維修及安裝業,1
2014,頭,電力及燃氣供應業,2
2014,頭,用水供應及污染整治業,31
2014,頭,營造業,28
2014,頭,批發及零售業,76
2014,頭,運輸及倉儲業,134
2014,頭,住宿及餐飲業,62
2014,頭,資訊及通訊傳播業,8
2014,頭,金融及保險業,31
2014,頭,不動產業,13
2014,頭,專業、科學及技術服務業,6
2014,頭,支援服務業,40
2014,頭,公共行政及國防；強制性社會安全,31
2014,頭,教育服務業,3
2014,頭,醫療保健及社會工作服務業,43
2014,頭,藝術、娛樂及休閒服務業,7
2014,頭,其他服務業,9
2014,臉顏,農、林、漁、牧業,2
2014,臉顏,礦業及土石採取業,0
2014,臉顏,食品製造業,13
2014,臉顏,飲料製造業,4
2014,臉顏,菸草製造業,0
2014,臉顏,紡織業,3
2014,臉顏,成衣及服飾品製造業,1
2014,臉顏,皮革、毛皮及其製品製造業,2
2014,臉顏,木竹製品製造業,2
2014,臉顏,紙漿、紙及紙製品製造業,7
2014,臉顏,印刷及資料儲存媒體複製業,1
2014,臉顏,石油及煤製品製造業,4
2014,臉顏,化學材料製造業,13
2014,臉顏,化學製品製造業,10
2014,臉顏,藥品製造業,6
2014,臉顏,橡膠製品製造業,9
2014,臉顏,塑膠製品製造業,6
2014,臉顏,非金屬礦物製品製造業,7
2014,臉顏,基本金屬製造業,16
2014,臉顏,金屬製品製造業,28
2014,臉顏,電子零組件製造業,49
2014,臉顏,電腦、電子產品及光學製品製造業,18
2014,臉顏,電力設備製造業,12
2014,臉顏,機械設備製造業,16
2014,臉顏,汽車及其零件製造業,6
2014,臉顏,其他運輸工具製造業,11
2014,臉顏,家具製造業,0
2014,臉顏,其他製造業,2
2014,臉顏,產業用機械設備維修及安裝業,0
2014,臉顏,電力及燃氣供應業,3
2014,臉顏,用水供應及污染整治業,13
2014,臉顏,營造業,21
2014,臉顏,批發及零售業,30
2014,臉顏,運輸及倉儲業,88
2014,臉顏,住宿及餐飲業,53
2014,臉顏,資訊及通訊傳播業,9
2014,臉顏,金融及保險業,22
2014,臉顏,不動產業,5
2014,臉顏,專業、科學及技術服務業,2
2014,臉顏,支援服務業,20
2014,臉顏,公共行政及國防；強制性社會安全,19
2014,臉顏,教育服務業,2
2014,臉顏,醫療保健及社會工作服務業,25
2014,臉顏,藝術、娛樂及休閒服務業,3
2014,臉顏,其他服務業,1
2014,頸,農、林、漁、牧業,1
2014,頸,礦業及土石採取業,0
2014,頸,食品製造業,2
2014,頸,飲料製造業,0
2014,頸,菸草製造業,0
2014,頸,紡織業,6
2014,頸,成衣及服飾品製造業,0
2014,頸,皮革、毛皮及其製品製造業,0
2014,頸,木竹製品製造業,1
2014,頸,紙漿、紙及紙製品製造業,1
2014,頸,印刷及資料儲存媒體複製業,0
2014,頸,石油及煤製品製造業,0
2014,頸,化學材料製造業,9
2014,頸,化學製品製造業,4
2014,頸,藥品製造業,2
2014,頸,橡膠製品製造業,1
2014,頸,塑膠製品製造業,3
2014,頸,非金屬礦物製品製造業,3
2014,頸,基本金屬製造業,3
2014,頸,金屬製品製造業,6
2014,頸,電子零組件製造業,14
2014,頸,電腦、電子產品及光學製品製造業,3
2014,頸,電力設備製造業,1
2014,頸,機械設備製造業,3
2014,頸,汽車及其零件製造業,2
2014,頸,其他運輸工具製造業,1
2014,頸,家具製造業,1
2014,頸,其他製造業,1
2014,頸,產業用機械設備維修及安裝業,0
2014,頸,電力及燃氣供應業,3
2014,頸,用水供應及污染整治業,11
2014,頸,營造業,8
2014,頸,批發及零售業,13
2014,頸,運輸及倉儲業,33
2014,頸,住宿及餐飲業,18
2014,頸,資訊及通訊傳播業,4
2014,頸,金融及保險業,6
2014,頸,不動產業,7
2014,頸,專業、科學及技術服務業,0
2014,頸,支援服務業,8
2014,頸,公共行政及國防；強制性社會安全,8
2014,頸,教育服務業,0
2014,頸,醫療保健及社會工作服務業,8
2014,頸,藝術、娛樂及休閒服務業,1
2014,頸,其他服務業,1
2014,肩,農、林、漁、牧業,1
2014,肩,礦業及土石採取業,0
2014,肩,食品製造業,9
2014,肩,飲料製造業,1
2014,肩,菸草製造業,0
2014,肩,紡織業,5
2014,肩,成衣及服飾品製造業,0
2014,肩,皮革、毛皮及其製品製造業,0
2014,肩,木竹製品製造業,0
2014,肩,紙漿、紙及紙製品製造業,4
2014,肩,印刷及資料儲存媒體複製業,0
2014,肩,石油及煤製品製造業,0
2014,肩,化學材料製造業,1
2014,肩,化學製品製造業,6
2014,肩,藥品製造業,1
2014,肩,橡膠製品製造業,3
2014,肩,塑膠製品製造業,6
2014,肩,非金屬礦物製品製造業,3
2014,肩,基本金屬製造業,4
2014,肩,金屬製品製造業,9
2014,肩,電子零組件製造業,18
2014,肩,電腦、電子產品及光學製品製造業,5
2014,肩,電力設備製造業,4
2014,肩,機械設備製造業,3
2014,肩,汽車及其零件製造業,2
2014,肩,其他運輸工具製造業,3
2014,肩,家具製造業,0
2014,肩,其他製造業,6
2014,肩,產業用機械設備維修及安裝業,0
2014,肩,電力及燃氣供應業,0
2014,肩,用水供應及污染整治業,18
2014,肩,營造業,9
2014,肩,批發及零售業,32
2014,肩,運輸及倉儲業,75
2014,肩,住宿及餐飲業,21
2014,肩,資訊及通訊傳播業,5
2014,肩,金融及保險業,19
2014,肩,不動產業,8
2014,肩,專業、科學及技術服務業,0
2014,肩,支援服務業,18
2014,肩,公共行政及國防；強制性社會安全,16
2014,肩,教育服務業,0
2014,肩,醫療保健及社會工作服務業,14
2014,肩,藝術、娛樂及休閒服務業,2
2014,肩,其他服務業,0
2014,鎖骨,農、林、漁、牧業,0
2014,鎖骨,礦業及土石採取業,0
2014,鎖骨,食品製造業,1
2014,鎖骨,飲料製造業,2
2014,鎖骨,菸草製造業,0
2014,鎖骨,紡織業,3
2014,鎖骨,成衣及服飾品製造業,0
2014,鎖骨,皮革、毛皮及其製品製造業,0
2014,鎖骨,木竹製品製造業,0
2014,鎖骨,紙漿、紙及紙製品製造業,3
2014,鎖骨,印刷及資料儲存媒體複製業,1
2014,鎖骨,石油及煤製品製造業,0
2014,鎖骨,化學材料製造業,3
2014,鎖骨,化學製品製造業,2
2014,鎖骨,藥品製造業,2
2014,鎖骨,橡膠製品製造業,0
2014,鎖骨,塑膠製品製造業,0
2014,鎖骨,非金屬礦物製品製造業,4
2014,鎖骨,基本金屬製造業,3
2014,鎖骨,金屬製品製造業,4
2014,鎖骨,電子零組件製造業,3
2014,鎖骨,電腦、電子產品及光學製品製造業,3
2014,鎖骨,電力設備製造業,3
2014,鎖骨,機械設備製造業,1
2014,鎖骨,汽車及其零件製造業,1
2014,鎖骨,其他運輸工具製造業,2
2014,鎖骨,家具製造業,0
2014,鎖骨,其他製造業,0
2014,鎖骨,產業用機械設備維修及安裝業,0
2014,鎖骨,電力及燃氣供應業,0
2014,鎖骨,用水供應及污染整治業,2
2014,鎖骨,營造業,6
2014,鎖骨,批發及零售業,4
2014,鎖骨,運輸及倉儲業,16
2014,鎖骨,住宿及餐飲業,2
2014,鎖骨,資訊及通訊傳播業,3
2014,鎖骨,金融及保險業,12
2014,鎖骨,不動產業,3
2014,鎖骨,專業、科學及技術服務業,0
2014,鎖骨,支援服務業,9
2014,鎖骨,公共行政及國防；強制性社會安全,0
2014,鎖骨,教育服務業,0
2014,鎖骨,醫療保健及社會工作服務業,0
2014,鎖骨,藝術、娛樂及休閒服務業,0
2014,鎖骨,其他服務業,0
2014,上膊,農、林、漁、牧業,1
2014,上膊,礦業及土石採取業,0
2014,上膊,食品製造業,8
2014,上膊,飲料製造業,0
2014,上膊,菸草製造業,0
2014,上膊,紡織業,8
2014,上膊,成衣及服飾品製造業,0
2014,上膊,皮革、毛皮及其製品製造業,0
2014,上膊,木竹製品製造業,0
